Rgt,﻿Rgt_x,Lu,Ld,Shim_thickness,HF/Hg,H,V,Flow rate per unit width,mean_height,Avg./Pre.,max height,Yield,Bstep,Bedge,Hedge,Rstep,start_x,file name,Bstep_modified,SR_x,SR_multiple_Ld_x,SS_x,capillary_length,viscosity_label,PowerLawIndex,ZeroShearViscosity,Viscosity_x,Ca,rho,sigma,c_star,delP_channel,P_drop_channel,P_drop_channel_dimensionless,K_Weinstein,(2n+1)/3,mu0(U^n)/sigma,P_jump,sigma/Hg,P_jump_dimensionless,P_drop_total,tau,k,logk,epsilon,Rgt_inv,Rgt_y,SR_y,SR_multiple_Ld_y,SS_y,Viscosity_y,muV/Hg,Ca_y,Re,B1_step_JS,B2_step_JS
1.314718968,1.314718969,4,2,0.29,0.805555556,0.36,1.5,375,0.273822778,1.095291111,0.30102037,0.2049,37.41471065,28.52209763,1.09932553,0.112452886,2.63,27_V_1.5_q_375,4.233471074,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,-0.145703677,-477.8919485,477.8919485,13.64303372,1.619111214,0.8,1.814551287,127.901347,208.3333333,0.613926466,349.9906015,4.547933577,0.04834725,-1.315628226,0.746030291,0.729166667,1.371428571,69.4,0.139,5.56,0.504407172,35.02827583,0.168135724,0.017778685,2.95625,2.95625
0.925782618,0.925782617,4,2,0.29,0.805555556,0.36,1,350,0.388860185,1.111029101,0.395068519,0.2237,28.7635516,16.35549291,1.015965464,0.080592784,1.635,ev21_V_1_q_350,4.621900826,46.3,0.093,5.56,2.42,low,0.7,1.8,0.569637023,0.126586005,1.31,0.075,-0.368980186,-744.6055036,744.6055036,28.23393186,1.619111214,0.8,1.366171957,79.95397727,208.3333333,0.383779091,664.6515264,7.483954273,0.017854091,-1.748262251,0.840095531,1.020833333,0.979591837,46.3,0.093,5.56,0.569650694,26.37271731,0.126589043,0.01490407,4.516666667,4.31875
0.792280995,0.792280994,4,2,0.29,0.805555556,0.36,0.7,300,0.454384243,1.060229901,0.470728649,0.2649,29.14933825,17.47419748,1.035970449,0.085652072,0.965,14_V_0.7_q_300,5.473140496,32.4,0.065,5.56,2.42,low,0.7,1.8,0.634028824,0.098626706,1.31,0.075,-0.40004463,-702.5160663,702.5160663,34.19264944,1.619111214,0.8,1.064324341,59.76523943,208.3333333,0.286873149,642.7508269,14.81073694,0.004558759,-2.341153337,1.395434695,1.130952381,0.884210526,32.4,0.065,5.56,0.633985344,20.54582133,0.098619942,0.010953732,3.889583333,2.86875
0.95055453,0.95055453,4,2,0.29,0.805555556,0.36,0.7,250,0.3787263,1.06043364,0.390238714,0.205,27.06439981,14.21871151,1.030397715,0.077847133,1.485,11_V_0.7_q_250,4.23553719,32.4,0.065,5.56,2.42,low,0.7,1.8,0.634028824,0.098626706,1.31,0.075,-0.361672019,-558.1483668,558.1483668,27.16602845,1.619111214,0.8,1.064324341,69.13960623,208.3333333,0.33187011,489.0087606,17.08518159,0.003425791,-2.465239198,2,0.973579365,1.027137629,32.4,0.065,5.56,0.633985344,20.54582133,0.098619942,0.009129864,4.7,4.44375
1.304098918,1.30409892,4,2,0.29,0.805555556,0.36,2,500,0.276052679,1.104210714,0.298579286,0.2323,42.07530266,33.63488465,1.081602567,0.118477544,2.685,ev38_V_2_q_500,4.799586777,92.6,0.185,5.56,2.42,low,0.7,1.8,0.462689037,0.205639572,1.31,0.075,-0.158014148,-600.6249922,600.6249922,14.01933853,1.619111214,0.8,2.219352892,145.3322331,208.3333333,0.697594719,455.292759,4.261808491,0.055056949,-1.259187861,0.834326744,0.729166667,1.371428571,92.6,0.185,5.56,0.462700141,42.84260565,0.205644507,0.026052078,3.49375,3.49375
1.049935495,1.049935495,4,2,0.29,0.805555556,0.36,0.7,225,0.342878207,1.066732199,0.352570862,0.1893,27.60455407,14.39286575,1.028268508,0.075690553,1.73,10_V_0.7_q_225,3.911157025,32.4,0.065,5.56,2.42,low,0.7,1.8,0.634028824,0.098626706,1.31,0.075,-0.323112539,-468.2653273,468.2653273,22.79126834,1.619111214,0.8,1.064324341,74.86440334,208.3333333,0.359349136,393.4009239,16.1193289,0.003848629,-2.414693914,2,0.869316261,1.150329339,32.4,0.065,5.56,0.633985344,20.54582133,0.098619942,0.008265683,3.6,3.6
1.635392451,1.63539245,4,2,0.29,0.805555556,0.36,0.5,100,0.220130648,1.100653241,0.260042222,0.2331,52.94583057,42.15678316,1.181308575,0.092686589,3.015,v1_V_0.5_q_100,4.816115702,23.1,0.046,5.56,2.42,low,0.7,1.8,0.701760487,0.077973387,1.31,0.075,0.536760475,-85.56073482,85.56073482,5.27036415,1.619111214,0.8,0.840977486,91.21153843,208.3333333,0.437815384,-5.65080361,6.838172317,0.021385525,-1.669880081,0.989172189,0.583333333,1.714285715,23.1,0.046,5.56,0.701322269,16.23431178,0.077924697,0.003426517,4.56875,4.429166667
1.231500009,1.231500011,4,2,0.29,0.805555556,0.36,1.5,400,0.292326429,1.096224107,0.313415,0.2052,35.09775031,25.7246669,1.072140489,0.106688478,2.515,28_V_1.5_q_400,4.239669421,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,-0.226294951,-580.8588662,580.8588662,16.58257086,1.619111214,0.8,1.814551287,121.3825651,208.3333333,0.582636312,459.4763011,4.130560133,0.058611401,-1.232017898,0.709340235,0.777777778,1.285714286,69.4,0.139,5.56,0.504407172,35.02827583,0.168135724,0.018980084,3.091666667,3.091666667
1.083476896,1.083476897,4,2,0.29,0.805555556,0.36,0.5,150,0.332263661,1.107545536,0.359889464,0.2423,36.46200723,24.70929256,1.083144222,0.085086725,2.115,v3_V_0.5_q_150,5.006198347,23.1,0.046,5.56,2.42,low,0.7,1.8,0.701760487,0.077973387,1.31,0.075,-0.309661248,-351.0015444,351.0015444,21.62096855,1.619111214,0.8,0.840977486,65.61572227,208.3333333,0.314955467,285.3858222,7.034716972,0.020207228,-1.694493258,0.664708785,0.875,1.142857143,23.1,0.046,5.56,0.701322269,16.23431178,0.077924697,0.005171961,3.4875,3.4875
0.865279149,0.86527915,4,2,0.29,0.805555556,0.36,0.7,275,0.416050705,1.059038157,0.427387727,0.2555,30.70539206,17.89445353,1.027249137,0.078058294,1.205,12_V_0.7_q_275,5.27892562,32.4,0.065,5.56,2.42,low,0.7,1.8,0.634028824,0.098626706,1.31,0.075,-0.385146668,-636.8294516,636.8294516,30.9955704,1.619111214,0.8,1.064324341,64.13133255,208.3333333,0.307830396,572.698119,7.930771796,0.015898974,-1.798630907,0.946156368,1.134852969,0.881171418,32.4,0.065,5.56,0.633985344,20.54582133,0.098619942,0.010029635,4.777083333,3.364583333
1.069733353,1.069733354,4,2,0.29,0.805555556,0.36,1,300,0.336532463,1.121774876,0.347830448,0.2212,32.86458582,20.90437262,1.033571754,0.08361055,1.92,ev19_V_1_q_300,4.570247934,46.3,0.093,5.56,2.42,low,0.7,1.8,0.569637023,0.126586005,1.31,0.075,-0.316004536,-584.2899143,584.2899143,22.15508957,1.619111214,0.8,1.366171957,89.75389075,208.3333333,0.430818676,494.5360236,9.045041254,0.012223031,-1.912821104,1.18623508,0.875,1.142857143,46.3,0.093,5.56,0.569650694,26.37271731,0.126589043,0.012898475,4.3375,4.133333333
1.575510213,1.57551021,4,2,0.29,0.805555556,0.36,0.7,150,0.228497408,1.066321239,0.256574789,0.2011,44.00487545,33.06383233,1.122878331,0.091398963,2.765,v7_V_0.7_q_150,4.154958678,32.4,0.065,5.56,2.42,low,0.7,1.8,0.634028824,0.098626706,1.31,0.075,0.344984962,-131.749976,131.749976,6.412494972,1.619111214,0.8,1.064324341,103.5815133,208.3333333,0.497191264,28.16846279,5.932391472,0.028414525,-1.546459604,1.116510904,0.612799206,1.631855899,32.4,0.065,5.56,0.633985344,20.54582133,0.098619942,0.005508332,3.93125,3.635416667
1.892579849,1.892579844,4,2,0.29,0.805555556,0.36,0.7,125,0.190216545,1.065212655,0.22777803,0.2398,63.03342315,52.99223564,1.19746697,0.099589814,3.26,v6_V_0.7_q_125,4.954545455,32.4,0.065,5.56,2.42,low,0.7,1.8,0.634028824,0.098626706,1.31,0.075,3.687312145,-27.23161475,27.23161475,1.325408914,1.619111214,0.8,1.064324341,119.9467935,208.3333333,0.575744609,-92.71517873,4.949543921,0.040819684,-1.389130365,0.86345843,0.520833333,1.92,32.4,0.065,5.56,0.633985344,20.54582133,0.098619942,0.004585505,3.914583333,3.39375
1.543660614,1.543660616,4,2,0.29,0.805555556,0.36,1.5,325,0.233211884,1.07636254,0.272703023,0.2214,47.46756393,38.99887028,1.16933588,0.118081966,2.93,25_V_1.5_q_325,4.574380165,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,0.262111307,-247.6199293,247.6199293,7.069144096,1.619111214,0.8,1.814551287,145.4287376,208.3333333,0.69805794,102.1911918,3.738897895,0.071534046,-1.14548721,0.588199346,0.631944444,1.582417582,69.4,0.139,5.56,0.504407172,35.02827583,0.168135724,0.015141912,4.027083333,2.864583333
1.456734859,1.456734862,4,2,0.29,0.805555556,0.36,1,225,0.247128019,1.098346749,0.275044074,0.2028,41.03136529,30.93538339,1.11296192,0.099049306,2.615,ev16_V_1_q_225,4.190082645,46.3,0.093,5.56,2.42,low,0.7,1.8,0.569637023,0.126586005,1.31,0.075,0.079255626,-239.8018262,239.8018262,9.092799325,1.619111214,0.8,1.366171957,114.9045602,208.3333333,0.551541889,124.897266,5.484226232,0.033248287,-1.478230723,0.864168078,0.65625,1.523809524,46.3,0.093,5.56,0.569650694,26.37271731,0.126589043,0.009471819,4.191666667,3.491666667
1.009844364,1.009844364,4,2,0.29,0.805555556,0.36,1.5,475,0.356490577,1.125759717,0.361875769,0.224,31.41738022,20.07065674,1.015106128,0.088131169,2.075,31_V_1.5_q_475,4.628099174,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,-0.332507326,-830.193155,830.193155,23.70065712,1.619111214,0.8,1.814551287,103.5648385,208.3333333,0.497111225,726.6283165,9.528742952,0.011013587,-1.958071223,1.340681964,0.923611111,1.082706767,69.4,0.139,5.56,0.504407172,35.02827583,0.168135724,0.023146115,2.679166667,2.233333333
1.31968172,1.319681721,4,2,0.29,0.805555556,0.36,0.5,125,0.272793049,1.091172195,0.302868293,0.2371,43.45785222,31.87397934,1.110249305,0.086326914,2.46,v2_V_0.5_q_125,4.898760331,23.1,0.046,5.56,2.42,low,0.7,1.8,0.701760487,0.077973387,1.31,0.075,-0.139708722,-218.630588,218.630588,13.46719165,1.619111214,0.8,0.840977486,76.82941928,208.3333333,0.368781213,141.8011688,7.637174444,0.017144885,-1.765865421,1.034751063,0.728885894,1.371956857,23.1,0.046,5.56,0.701322269,16.23431178,0.077924697,0.004246252,4.370833333,4.272916667
0.92330416,0.92330416,4,2,0.29,0.805555556,0.36,0.5,175,0.389904016,1.114011475,0.4107,0.2575,33.02094738,20.49222288,1.053336162,0.079816585,1.7,v4_V_0.5_q_175,5.320247934,23.1,0.046,5.56,2.42,low,0.7,1.8,0.701760487,0.077973387,1.31,0.075,-0.369687645,-460.1232089,460.1232089,28.34263719,1.619111214,0.8,0.840977486,57.73351822,208.3333333,0.277120887,402.3896907,7.057783398,0.02007536,-1.697336652,0.625904985,1.020833333,0.979591837,23.1,0.046,5.56,0.701322269,16.23431178,0.077924697,0.006069182,2.645833333,2.264583333
1.413989221,1.41398922,4,2,0.29,0.805555556,0.36,1.5,350,0.254598829,1.09113784,0.286727073,0.1996,39.19892338,30.49896192,1.12619164,0.114943038,2.775,26_V_1.5_q_350,4.123966942,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,0.003823911,-359.8110246,359.8110246,10.27201642,1.619111214,0.8,1.814551287,135.5706426,208.3333333,0.650739084,224.240382,4.456496521,0.050351551,-1.297987144,0.756668491,0.680555556,1.469387755,69.4,0.139,5.56,0.504407172,35.02827583,0.168135724,0.016530518,2.960416667,2.960416667
1.135520462,1.135520462,4,2,0.29,0.805555556,0.36,1.5,425,0.317035238,1.118947899,0.325057857,0.2189,34.52297627,23.95632752,1.025305134,0.094637385,2.33,29_V_1.5_q_425,4.522727273,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,-0.287911394,-700.3515617,700.3515617,19.99389194,1.619111214,0.8,1.814551287,113.7534945,208.3333333,0.546016774,586.5980672,3.697691639,0.073137248,-1.135861383,0.700991217,0.826388889,1.210084034,69.4,0.139,5.56,0.504407172,35.02827583,0.168135724,0.02058437,3.283333333,3.283333333
1.457587915,1.457587914,4,2,0.29,0.805555556,0.36,2,450,0.246983387,1.097703943,0.278215161,0.225,45.54962231,37.37093457,1.126452935,0.122269004,2.82,ev36_V_2_q_450,4.648760331,92.6,0.185,5.56,2.42,low,0.7,1.8,0.462689037,0.205639572,1.31,0.075,0.080826772,-388.618682,388.618682,9.070846092,1.619111214,0.8,2.219352892,158.8624757,208.3333333,0.762539883,229.7562063,3.745001521,0.071301063,-1.146903997,0.651013347,0.65625,1.523809524,92.6,0.185,5.56,0.462700141,42.84260565,0.205644507,0.023308705,2.954166667,2.504166667
1.004008199,1.0040082,4,2,0.29,0.805555556,0.36,1,325,0.358562809,1.10327018,0.366649574,0.2214,30.87325215,18.46259524,1.022553276,0.080575912,1.75,ev20_V_1_q_325,4.574380165,46.3,0.093,5.56,2.42,low,0.7,1.8,0.569637023,0.126586005,1.31,0.075,-0.333505296,-627.7306843,627.7306843,23.80227554,1.619111214,0.8,1.366171957,85.31446308,208.3333333,0.409509423,542.4162212,9.313693401,0.011528057,-1.938243874,1.190060855,0.947916661,1.054945062,46.3,0.093,5.56,0.569650694,26.37271731,0.126589043,0.013742845,5.166666667,4.014583333
1.653697171,1.653697175,4,2,0.29,0.805555556,0.36,1,200,0.217694029,1.088470143,0.251099143,0.2175,49.95543549,40.2629326,1.153449842,0.103172525,2.9,ev15_V_1_q_200,4.493801653,46.3,0.093,5.56,2.42,low,0.7,1.8,0.569637023,0.126586005,1.31,0.075,0.607878081,-130.3398967,130.3398967,4.942224768,1.619111214,0.8,1.366171957,127.173798,208.3333333,0.61043423,3.166098762,5.250617934,0.03627264,-1.440420835,0.896052436,0.583333333,1.714285714,46.3,0.093,5.56,0.569650694,26.37271731,0.126589043,0.008343686,4.075,3.20625
1.381630478,1.38163048,4,2,0.29,0.805555556,0.36,2,475,0.26056171,1.097101935,0.287325161,0.2311,44.34650054,35.90320317,1.102714446,0.118437141,2.71,ev37_V_2_q_475,4.774793388,92.6,0.185,5.56,2.42,low,0.7,1.8,0.462689037,0.205639572,1.31,0.075,-0.050966789,-484.4189008,484.4189008,11.30694302,1.619111214,0.8,2.219352892,152.2043424,208.3333333,0.730580844,332.2145584,2.750361227,0.132196673,-0.878779474,0.539137888,0.692708333,1.443609023,92.6,0.185,5.56,0.462700141,42.84260565,0.205644507,0.02459014,2.68125,2.68125
1.163427313,1.163427314,4,2,0.29,0.805555556,0.36,1,275,0.30943059,1.125202145,0.32204,0.2177,35.17751755,23.57556183,1.040750368,0.086192365,2.1,ev18_V_1_q_275,4.497933884,46.3,0.093,5.56,2.42,low,0.7,1.8,0.569637023,0.126586005,1.31,0.075,-0.272384956,-500.8730459,500.8730459,18.99209095,1.619111214,0.8,1.366171957,95.98961699,208.3333333,0.460750162,404.8834289,10.09234215,0.009817843,-2.007983931,1.499888469,0.802083333,1.246753247,46.3,0.093,5.56,0.569650694,26.37271731,0.126589043,0.011859726,3.941666667,3.941666667
1.339876317,1.339876316,4,2,0.29,0.805555556,0.36,0.7,175,0.268681516,1.074726065,0.287697258,0.2124,39.52635132,27.78382416,1.070774284,0.085160544,2.41,v8_V_0.7_q_175,4.388429752,32.4,0.065,5.56,2.42,low,0.7,1.8,0.634028824,0.098626706,1.31,0.075,-0.113635504,-262.0200717,262.0200717,12.75296166,1.619111214,0.8,1.064324341,90.99070747,208.3333333,0.436755396,171.0293642,5.593276499,0.031964464,-1.495332578,0.996970746,0.729081659,1.371588473,32.4,0.065,5.56,0.633985344,20.54582133,0.098619942,0.006477041,4.20625,3.977083333
1.53525781,1.535257807,4,2,0.29,0.805555556,0.36,2,425,0.234488304,1.103474373,0.270072174,0.2295,48.93634261,41.06814635,1.151751149,0.127093932,2.935,ev35_V_2_q_425,4.741735537,92.6,0.185,5.56,2.42,low,0.7,1.8,0.462689037,0.205639572,1.31,0.075,0.241951727,-310.5627247,310.5627247,7.248922422,1.619111214,0.8,2.219352892,165.5993285,208.3333333,0.794876777,144.9633962,4.561854309,0.048052632,-1.318282822,0.775780148,0.619791667,1.613445378,92.6,0.185,5.56,0.462700141,42.84260565,0.205644507,0.0221295,2.895833333,2.427083333
1.851569878,1.851569875,4,2,0.29,0.805555556,0.36,1.5,500,0.194429605,0.583288816,0.243314211,0.2177,55.98427248,48.65514173,1.251425729,0.136441828,3.42,32_V_1.5_q_500,4.497933884,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,2.45936798,-65.62388138,65.62388138,,1.619111214,0.8,1.814551287,168.205759,208.3333333,0.807387643,-102.5818776,,,,,,,,,,,0,,,2.752083333,2.3125
1.705651867,1.705651867,4,2,0.29,0.805555556,0.36,2,375,0.211063,1.125669333,0.254618421,0.2221,52.61462217,45.12870565,1.206362181,0.133584177,3.245,ev33_V_2_q_375,4.588842975,92.6,0.185,5.56,2.42,low,0.7,1.8,0.462689037,0.205639572,1.31,0.075,0.856066737,-173.8232291,173.8232291,4.057251572,1.619111214,0.8,2.219352892,180.1465023,208.3333333,0.864703211,-6.323273241,5.427218853,0.033950434,-1.46915467,0.939929442,0.546875,1.828571429,92.6,0.185,5.56,0.462700141,42.84260565,0.205644507,0.01991877,2.8375,2.34375
1.173604554,1.173604554,4,2,0.29,0.805555556,0.36,0.7,200,0.306747276,1.073615466,0.319331379,0.2169,35.3548372,22.4451871,1.041024336,0.077461433,2.065,v9_V_0.7_q_200,4.481404959,32.4,0.065,5.56,2.42,low,0.7,1.8,0.634028824,0.098626706,1.31,0.075,-0.266296649,-382.7572736,382.7572736,18.62944622,1.619111214,0.8,1.064324341,81.83944999,208.3333333,0.39282936,300.9178236,13.99575212,0.005105138,-2.291992484,1.999999995,0.779434979,1.282980656,32.4,0.065,5.56,0.633985344,20.54582133,0.098619942,0.007394683,,
1.321117542,1.32111754,4,2,0.29,0.805555556,0.36,1,250,0.272496571,1.089986286,0.297806735,0.2052,37.65184988,27.24804925,1.092882502,0.09611872,2.365,ev17_V_1_q_250,4.239669421,46.3,0.093,5.56,2.42,low,0.7,1.8,0.569637023,0.126586005,1.31,0.075,-0.13794461,-353.8249487,353.8249487,13.41632508,1.619111214,0.8,1.366171957,106.2639663,208.3333333,0.510067038,247.5609824,5.660032073,0.031214919,-1.505637784,0.846267231,0.729166667,1.371428571,46.3,0.093,5.56,0.569650694,26.37271731,0.126589043,0.010444135,4.308333333,3.3625
0.867019631,0.867019632,4,2,0.29,0.805555556,0.36,1,375,0.415215512,1.107241364,0.42016,0.1643,19.78490632,6.64715051,1.011908246,0.076116501,1.465,ev22_V_1_q_375,3.394628099,46.3,0.093,5.56,2.42,low,0.7,1.8,0.569637023,0.126586005,1.31,0.075,-0.384711545,-815.2532524,815.2532524,30.91275134,1.619111214,0.8,1.366171957,75.86753946,208.3333333,0.364164189,739.385713,9.27486283,0.011624787,-1.934614991,1.015706561,1.09375,0.914285714,46.3,0.093,5.56,0.569650694,26.37271731,0.126589043,0.015914206,4.722916667,4.722916667
1.605843407,1.605843408,4,2,0.29,0.805555556,0.36,2,400,0.224181261,1.120906304,0.26227913,0.2242,50.00417946,42.17569284,1.169942258,0.12773861,3.025,ev34_V_2_q_400,4.632231405,92.6,0.185,5.56,2.42,low,0.7,1.8,0.462689037,0.205639572,1.31,0.075,0.435283217,-249.3464438,249.3464438,5.820057861,1.619111214,0.8,2.219352892,171.6627532,208.3333333,0.823981215,77.68369062,5.445919128,0.033717675,-1.472142376,0.923695136,0.583333333,1.714285714,92.6,0.185,5.56,0.462700141,42.84260565,0.205644507,0.021156787,2.914583333,2.383333333
2.134325229,2.134325232,4,2,0.29,0.805555556,0.36,2,300,0.168671576,1.124477172,0.223883939,0.2186,64.80048551,57.80464169,1.327336502,0.142942013,3.63,ev39_V_2_q_300,4.516528926,92.6,0.185,5.56,2.42,low,0.7,1.8,0.462689037,0.205639572,1.31,0.075,10,-22.66437413,22.66437413,0.529014839,1.619111214,0.8,2.219352892,215.5370813,208.3333333,1.03457799,-192.8727072,3.241359388,0.095179984,-1.021454373,0.501865684,0.4375,2.285714286,92.6,0.185,5.56,0.462700141,42.84260565,0.205644507,0.01591814,,
0.821235279,0.821235278,4,2,0.29,0.805555556,0.36,0.5,200,0.438364022,1.095910056,0.461155843,0.2724,31.07006803,19.20778068,1.051992908,0.084300774,1.155,v5_V_0.5_q_200,5.628099174,23.1,0.046,5.56,2.42,low,0.7,1.8,0.701760487,0.077973387,1.31,0.075,-0.394176908,-533.1812414,533.1812414,,1.619111214,0.8,0.840977486,52.5685827,208.3333333,0.252329197,480.6126587,,,,,,,,,,,0,,,3.672916667,2.697916667
1.075861511,1.075861512,4,2,0.29,0.805555556,0.36,1.5,450,0.334615558,1.115385192,0.343644615,0.2223,33.2172242,22.51837916,1.026983377,0.093468033,2.19,30_V_1.5_q_450,4.592975207,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,-0.313332388,-768.0441991,768.0441991,21.92640605,1.619111214,0.8,1.814551287,108.9466479,208.3333333,0.52294391,659.0975512,3.56835571,0.078535085,-1.104936281,0.663340109,0.875,1.142857143,69.4,0.139,5.56,0.504407172,35.02827583,0.168135724,0.02172582,4.202083333,4.202083333
1.637765549,1.63776555,4,2,0.29,0.805555556,0.36,1.5,300,0.219811682,1.099058409,0.261672273,0.2202,50.08832974,41.89950199,1.190438427,0.122117601,3.13,24_V_1.5_q_300,4.549586777,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,0.545591917,-183.1035691,183.1035691,5.227307504,1.619111214,0.8,1.814551287,152.479044,208.3333333,0.731899411,30.62452511,5.059196765,0.039069411,-1.408163141,0.893799668,0.583333333,1.714285714,69.4,0.139,5.56,0.504407172,35.02827583,0.168135724,0.014271868,2.70625,2.70625
1.830717229,1.830717226,4,2,0.29,0.805555556,0.36,2,350,0.196644241,1.123681379,0.246657586,0.2152,54.71810374,47.42066147,1.254334144,0.137034315,3.44,ev41_V_2_q_350,4.446280992,92.6,0.185,5.56,2.42,low,0.7,1.8,0.462689037,0.205639572,1.31,0.075,2.062506668,-92.63126239,92.63126239,2.16212952,1.619111214,0.8,2.219352892,190.6384657,208.3333333,0.915064635,-98.00720336,4.540797704,0.048499325,-1.314264308,0.791342441,0.510416667,1.959183673,92.6,0.185,5.56,0.462700141,42.84260565,0.205644507,0.01855802,4.683333333,3.852083333